Freq,Word
50,ხო
36,აი
34,არ
34,და
23,არის
21,მა
19,ეს
19,რა
16,გემი
16,კარგი
15,მე
15,შენ
15,ჰო
14,აქ
12,რომ
11,უნდა
9,აჰა
8,არა
8,ახლა
8,იყო
8,ფეხი
7,ეგ
7,მანქანა
6,აბა
6,ვიცი
6,თუ
6,კი
6,მომეცი
6,რას
6,სად
5,ასე
5,გაქვს
5,გინდა
5,ვარ
5,იქ
5,იყოს
5,მაქვს
5,მერე
5,მეშინია
5,მოდი
5,საჭმელი
5,ძალიან
5,წყალში
4,აკეთებ
4,არიან
4,აქვს
4,გადაჰყავს
4,გემზე
4,ერთი
4,ესეც
4,ექიმი
4,ვითომ-ვითომ
4,ის
4,იყავი
4,კარგად
4,მანდ
4,მთაზე
4,მიდი
4,მოაყენებს
4,მოვედი
4,ნელა
4,ნემსი
4,ორი
4,სულ
4,ყუთში
4,შენი
4,ჩავვარდი
4,ცხოველები
3,აქა
3,აღარ
3,გადააგდე
3,გამიკეთებ
3,გემია
3,გტკივა
3,ეკლებში
3,ვითამაშოთ
3,თეფშით
3,ისე
3,იცი
3,კიდევ
3,მაგ
3,მიჭამია
3,მოვიდა
3,მოიტანე
3,მშიერი
3,როგორ
3,საათი
3,უკვე
3,ყველა
3,ხილი
3,ჯერ
3,ჰა
2,აბაზანაში
2,ადამიანების
2,ამას
2,ამიტომ
2,ბოხი
2,გაგიკეთებია
2,გადაიყვანოს
2,გატყიპე
2,გაჭამე
2,გვყავს
2,დავიწვი
2,დამიცდა
2,დევს
2,დიდი
2,ერთად
2,ესე
2,ვერ
2,ვთამაშობთ
2,ვინ
2,ვიქნები
2,ვჭამო
2,ივლიან
2,იმ
2,იქით
2,იქნება
2,იხრჩობა
2,კარგია
2,კომპასი
2,ლომი
2,მაგარი
2,მამიკო
2,მანქანაც
2,მანქანებიც
2,მანქანები
2,მანქანებს
2,მაჭამე
2,მიდიან
2,მითხარი
2,მოვკიდე
2,მტკივა
2,მუშაობ
2,ნახე
2,პატარა
2,პიპინი
2,პროფილაქტიკაში
2,რავი
2,რამე
2,რაღაცებთან
2,რკინის
2,როგორი
2,რომელი
2,სამსახურში
2,საჭმელს
2,სტაფილო
2,ტაფა
2,ფიფქია
2,ფრთხილად
2,ქვაბიდან
2,ყავა
2,შევიდა
2,შევჭამე
2,შევჭამ
2,შემთხვევით
2,შნური
2,ჩამოვარდა
2,ჩემთვის
2,ჩემი
2,ცეცხლთან
2,ცუდად
2,წაიღე
2,წამალი
2,ხარ
2,ხიჭვი
2,ხმელეთი
2,ჯუჯა
2,ჰქვია
1,აგერ
1,აგზავნი
1,ადგილიდან
1,ავიღო
1,ათას
1,აიყვანოს
1,აკეთებენ
1,ამისია
1,ამოიყვანე
1,ამწე
1,ამ
1,ანუ
1,აუცილებელია
1,აქაც
1,აქედან
1,აყენებ
1,აჩვენებს
1,აძვერი
1,აძვრა
1,ახტა
1,ბოლოს
1,ბოლოში
1,ბორბალი
1,გააკეთებ
1,გაგიფუჭდება
1,გაგსინჯავ
1,გაგსინჯო
1,გადაარჩინე
1,გადავიდნენ
1,გადაუარა
1,გადმომეხედა
1,გავაკეთოთ
1,გავაღვიძო
1,გავიკეთოთ
1,გავიკეთო
1,გავსინჯო
1,გავუკეთოთ
1,გაიარე
1,გამატარეთ
1,გამიკეთე
1,გამიკეთო
1,გარდა
1,გარეშე
1,გაუფუჭდა
1,გაუცხელდა
1,გაფუჭდა
1,გაჭმევდი
1,გემის
1,გემრიელია
1,გემს
1,გემში
1,გეტკინა
1,გვერდზე
1,გიყვებოდი
1,გუშინ
1,გქონდეს
1,გჭირთ
1,დაგაყარე
1,დაგვეტენა
1,დაგვიტენია
1,დაგილევინებია
1,დადგნენ
1,დადის
1,დავაყაროთ
1,დავდგი
1,დავისვენოთ
1,დავიძინებ
1,დავიწყოთ
1,დავსვათ
1,დავსხდეთ
1,დავტენეთ
1,დავწვეთ
1,დამალევინე
1,დამეწვა
1,დამიდე
1,დამტენი
1,დამჯდარია
1,დანარჩენი
1,დაუძახე
1,დგანან
1,დგას
1,დედა
1,დევის
1,დეკემბერი
1,დენთან
1,დენი
1,დენში
1,დღეს
1,ეგეთ
1,ეგეც
1,ეგრე
1,ეკლები
1,ელენეს
1,ელოდებიან
1,ერთმანეთის
1,ესა
1,ესეთი
1,ეტყობა
1,ექიმობანა
1,ეძინათ
1,ვაკეთებდი
1,ვაკეთებ
1,ვთქვით
1,ვთხოვ
1,ვმუშაობ
1,ვნახე
1,ვნახოთ
1,ვნახო
1,ზევიდან
1,ზღვაშია
1,ზღვაში
1,თავიდან
1,თავისი
1,თავი
1,თამაში
1,თეფშები
1,თეფში
1,თვითონ
1,თორემ
1,თუა
1,ითამაშებ
1,ითამაშე
1,იმაზე
1,იმას
1,იმდენია
1,იმისია
1,იმიტომ
1,ისინი
1,ისიც
1,იქნებ
1,იყვნენ
1,იწვნენ
1,იჭმევა
1,კანი
1,კარები
1,კაცო
1,კვერცხს
1,კრანი
1,ლომიც
1,მაგარიაო
1,მაგას
1,მაგდენი
1,მაგის
1,მაინტერესებდა
1,მაინც
1,მამა
1,მამი
1,მანქანაა
1,მანქანების
1,მართალ
1,მარტორქა
1,მარტო
1,მაჭამოს
1,მაჭმევ
1,მგონი
1,მეგონა
1,მეორეზე
1,მეტი
1,მთის
1,მიაყენა
1,მიდის
1,მივძვრებოდი
1,მიმკურნალე
1,მინიონი
1,მიხვედი
1,მიხვიდე
1,მიჰყავს
1,მოაყენა
1,მოდის
1,მოეხმარე
1,მოვდივარ
1,მოვედით
1,მოვიდნენ
1,მოვძებნოთ
1,მოიტან
1,მოიცადე
1,მომაწოდე
1,მომეცით
1,მომიტანე
1,მომცემ
1,მორჩა
1,მუშაობს
1,მშია
1,ნამდვილ
1,ნემსით
1,ნუ
1,ოთახში
1,ოთხი
1,ოცი
1,პაციენტი
1,პაციენტო
1,პირველი
1,რამდენი
1,რატომ
1,რაც
1,რახან
1,რიგში
1,რითი
1,რკინისა
1,როგორც
1,რომელიც
1,რომელსაც
1,საათია
1,სადაც
1,სამსახური
1,საქმე
1,საჭმელების
1,სახელურებიც
1,სახელურები
1,სუპს
1,სძინავთ
1,სჭირდებათ
1,სხვა
1,ტაფაზე
1,ტაფას
1,ტაფები
1,ტრანსპორტი
1,ტრიალებს
1,უბრალოდ
1,უკან
1,უნდოდა
1,უფრო
1,უყურე
1,ფერია
1,ფიფქიაა
1,ქენი
1,ქვაბების
1,ქვაბები
1,ქვაბი
1,ქვევით
1,ღვიძავთ
1,ყველანი
1,ყველაფერს
1,ყრი
1,ყუთი
1,შავია
1,შეგვეერთებინა
1,შეგვიძლია
1,შევაერთებ
1,შევაერთოთ
1,შეიძლება
1,შემიწვავ
1,შემიწვი
1,შენთან
1,შენია
1,შენს
1,შენც
1,შესცივდათ
1,შესცივდება
1,შეუძლია
1,შეწვა
1,შეჭამეო
1,შიგნით
1,შუადღის
1,ჩაეტევა
1,ჩაეტევიან
1,ჩავარდეს
1,ჩაიდნის
1,ჩამიდე
1,ჩამოვვარდი
1,ჩამოვსვათ
1,ჩანდა
1,ჩაქუჩი
1,ჩვენ
1,ცალი
1,ცეცხლია
1,ცოდო
1,ცოთა
1,ცხელი
1,ცხელ
1,ცხოველების
1,ცხოველებიც
1,ცხოველი
1,ძლიერია
1,ძრავი
1,წაგისვა
1,წადი
1,წავედით
1,წავედი
1,წაისვათ
1,წაიყვანა
1,წამლების
1,წამოვიდა
1,წამოხვალ
1,წევს
1,წელი
1,წერილებს
1,წვანან
1,წვერიდან
1,წითელია
1,წუთით
1,წყალია
1,წყალი
1,წყალშია
1,ხალხი
1,ხანია
1,ხანი
1,ხედავ
1,ხელი
1,ხელოსანი
1,ხიჭვები
1,ხიჭვიც
1,ხლემეთზე
1,ხმელეთზე
1,ხმელეთია
1,ხომ
1,ჯილდას
1,ჯუჯაც
